filename,detected_text,plate_color
video2_300_plate_0.jpg,MH02DN8718,White - Private
sri_car_plate_0.jpg,TN04BK7999,Green - Electric Vehicle
cab._plate_0.jpg,CG07CA2012,Yellow - Commercial
video2_410_plate_0.jpg,IN0MHO2DN8718,White - Private
